org,channel,product,planner
org1,Non Revenue,B PAJA,user1
org1,Non Revenue,B PBFC,user1
org1,Non Revenue,B PBEE,user1
org1,Non Revenue,B V GD,user2
org1,Non Revenue,B Z A,user3
org1,Non Revenue,M AAFA,user2
org1,Non Revenue,M AAFB,user3
org1,Non Revenue,M AABA,user2
org1,Non Revenue,M AABD,user1
org1,Non Revenue,M AATC,user1
org1,Non Revenue,ONMSDT,user3
org1,Non Revenue,CAS AI,user1
org1,Non Revenue,MBBAA,user3
org1,Non Revenue,MBBBB,user1
org1,Non Revenue,MBBEBB,user1
org1,Non Revenue,MBAEB,user3
org1,Non Revenue,A A KA,user2
org1,Non Revenue,A X EA,user1
org1,Non Revenue,R A A,user1
org1,Non Revenue,F Y A,user1
org1,Non Revenue,O B BF,user2
org1,Non Revenue,M JCB,user1
org1,Non Revenue,M J N,user1
org1,Non Revenue,M J A,user3
org1,Non Revenue,M J B,user3
org1,Non Revenue,M J DG,user2
org1,Non Revenue,M JAAA,user2
org1,Non Revenue,M JABA,user3
org1,Non Revenue,M J DB,user3
org1,Non Revenue,M J BP,user3
org1,Non Revenue,M K A,user3
org1,Non Revenue,CJT D,user1
org1,Non Revenue,FJM XA,user1
org1,Non Revenue,MACCF,user1
org1,Non Revenue,ANTSAC,user2
org1,Non Revenue,M OAZR,user2
org1,Non Revenue,B PARK,user3
org1,Non Revenue,E A IC,user1
org1,Non Revenue,B PBBV,user3
org1,Non Revenue,C G H,user1
org1,Non Revenue,FJM M,user2
org1,Non Revenue,CJH L,user3
org1,Non Revenue,MAP CQ,user2
org1,Non Revenue,MAO CT,user3
org1,Non Revenue,O B BA,user2
org1,Non Revenue,O B BD,user3
org1,Non Revenue,O B WJ,user2
org1,Non Revenue,O B VH,user2
org1,Non Revenue,M A KB,user1
org1,Non Revenue,B PAAA,user3
org1,Non Revenue,B PBAR,user2
org1,Non Revenue,B PBBJ,user1
org1,Non Revenue,B V UN,user2
org1,Non Revenue,B V UO,user3
org1,Non Revenue,B V UR,user1
org1,Non Revenue,B PDBG,user3
org1,Non Revenue,B PDBI,user1
org1,Non Revenue,B PDBO,user3
org1,Non Revenue,B PDBU,user1
org1,Non Revenue,O B AD,user3
org1,Non Revenue,O B AG,user2
org1,Non Revenue,B V GC,user2
org1,Non Revenue,M AATE,user1
org1,Non Revenue,M AATB,user1
org1,Non Revenue,M AABB,user1
org1,Non Revenue,M ABA,user1
org1,Non Revenue,ONGSDC,user1
org1,Non Revenue,ONGSDS,user1
